"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2023/ 2024 ГОДИНА ",,,,,,,,
,,,,,,,,
"Забележки: 
- Оцветените в синьо паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места",,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Свободни места,,
,Код,Име,Код,Име,,Общо,Мъже,Жени
,,,,,,,,
83,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,1,5,-,-
84,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,1,8,-,-
85,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,1,3,-,-
86,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника (дуална),1,4,-,-
87,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),1,11,-,-
88,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),1,15,-,-
89,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,1,17,-,-
90,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,1,5,-,-
91,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),1,4,-,-
92,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - АЕ,1,2,-,-
93,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),1,1,-,-
94,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автомобилна мехатроника - АЕ,1,2,-,-
95,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ,1,1,-,-
96,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Подемно - транспортна техника монтирана на пътни транспортни средства,1,21,-,-
97,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,1,7,-,-
98,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,1,3,-,-
99,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,1,,-,-
100,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,1,3,-,-
101,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,1,,-,-
102,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,1,,-,-
103,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Микропроцесорна техника - АЕ,1,4,-,-
104,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,1,2,-,-
105,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,"Производство на месо, месни продукти и риба - АЕ",1,8,-,-
106,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,Производство и преработка на мляко и млечни продукти,1,13,-,-
107,2212303,"33. Езикова гимназия ""Света София""",2762,"Предприемачески - АЕ интензивно, НЕ",1,3,-,-
108,2212303,"33. Езикова гимназия ""Света София""",2767,"Чужди езици - АЕ интензивно, ИЕ",1,3,-,-
109,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",1,3,-,-
110,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",1,4,-,-
111,2212303,"33. Езикова гимназия ""Света София""",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",1,5,-,-
112,2207068,"68. Средно училище ""Академик Никола Обрешков""",2629,Софтуерни и хардуерни науки - АЕ,1,4,-,-
113,2207068,"68. Средно училище ""Академик Никола Обрешков""",3634,Природни науки - АЕ,1,9,-,-
114,2207068,"68. Средно училище ""Академик Никола Обрешков""",4454,Софтуерни и хардуерни науки - АЕ интензивно,1,5,-,-
115,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, РЕ",1,5,-,-
116,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",1,2,-,-
117,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",1,1,-,-
118,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",1,14,-,-
119,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",1,11,-,-
120,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",1,8,-,-
121,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,1,13,-,-
122,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - ФЕ,1,21,-,-
123,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,12,-,-
124,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",1,15,-,-
125,2208028,"28 Средно училище ""Алеко Константинов""",4127,"Икономическа информатика - АЕ интензивно, ИЕ",1,19,-,-
126,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги /АЕ/,1,1,-,-
127,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,1,5,-,-
128,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,1,5,-,-
129,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,1,9,-,-
130,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,1,8,-,-
131,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Кетъринг - ГрЕ,1,21,-,-
132,2208413,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,1,15,-,-
133,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4381,"Предприемачески - НЕ интензивно, НорвЕ",1,1,-,-
134,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4383,"Предприемачески - НЕ интензивно, ДатЕ",1,1,-,-
135,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",4384,"Предприемачески - АЕ интензивно, ШвЕ",1,,-,-
136,2209036,"36 Средно училище ""Максим Горки""",0778,"Чужди езици - ИтЕ интензивно, АЕ",1,6,-,-
137,2209036,"36 Средно училище ""Максим Горки""",0784,"Природни науки - АЕ интензивно, ИтЕ",1,8,-,-
138,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",1,1,-,-
139,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",1,2,-,-
140,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",1,1,-,-
141,2209132,"132. Средно училище ""Ваня Войнова""",0424,"Спортни-туристически дейности - помощник-инструктор АЕ,РЕ",1,3,-,-
142,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,1,2,-,-
143,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",1,7,-,-
144,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",1,6,-,-
145,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Чужди езици - ИЕ интензивно, АЕ/НЕ",1,5,-,-
146,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",1,4,-,-
147,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",1,5,-,-
148,2210085,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",1,9,-,-
149,2210117,117. СУ,0975,Софтуерни и хардуерни науки,1,8,-,-
150,2210162,"162 Обединено училище ""Отец Паисий""",2956,Предприемачески,1,6,-,-
151,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",1,4,-,-
152,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",1,4,-,-
153,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",1,3,-,-
154,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",1,-,1,
155,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0390,"Чужди езици - ФЕ интензивно, РЕ",1,1,-,-
156,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Чужди езици - интензивно ФЕ, РЕ",1,-,2,
157,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС интензивно НЕ, РЕ",1,-,,2
158,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,1,1,-,-
159,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,1,3,-,-
160,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,1,1,-,-
161,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,1,,-,-
162,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,1,,-,-
163,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ,1,1,-,-
164,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,1,1,-,-
165,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",1,7,-,-
166,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",1,7,-,-
167,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",1,4,-,-
168,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",1,2,-,-
