СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 29.07.2020,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
192.  ,2211417  ПГО,0491  Конструиранемоделиране и технология на облекло от текстил - АЕ,244.75,289.5,без квоти
193.  ,"2206409  ПГТЕ ""Хенри Форд""",2378  Електрически превозни средства - АЕ,243.5,300.5,без квоти
194.  ,"2213010  10 СУ  ""Теодор Траянов""",2101  Обществени науки - АЕ,243.5,271.75,без квоти
195.  ,2211417  ПГО,0505  Сценичен костюм - АЕ,243.25,275,без квоти
196.  ,2210117  117.СУ,0975  Софтуерни и хардуерни науки,243,265.5,без квоти
197.  ,"2206409  ПГТЕ ""Хенри Форд""",2357  Възобновяеми енергийни източници - АЕ,241.5,241.5,без квоти
198.  ,"2213125  125 СУ ""Боян Пенев""",1557  Математически - АЕ интензивно,239.75,315.25,без квоти
199.  ,"2213039  39 СУ ""П.Динеков""",1802  Софтуерни и хардуерни науки - АЕ интензивно,239.5,351,без квоти
200.  ,"2214101  101 СУ ""БАЧО КИРО""",2889  Софтуерни и хардуерни науки - АЕ интензивно,239.5,271.5,без квоти
201.  ,2224047  47СУ,0515  Предприемачески - АЕ интензивно,232.5,326.5,без квоти
202.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2765  Микропроцесорна техника - АЕ,231,251.75,без квоти
203.  ,2214054  54 СУ,0749  Чужди езици - АЕ интензивно,226,337,без квоти
204.  ,"2212137  137 СУ ""Ангел Кънчев""",1834  Предприемачески - АЕ интензивно,226,227,без квоти
205.  ,"2212137  137 СУ ""Ангел Кънчев""",1844  Софтуерни и хардуерни науки - АЕ интензивно,220.75,347.5,без квоти
206.  ,"2207069  69 СУ  ""Д.  Маринов""",0887  Икономическо развитие - АЕ,219,237,без квоти
207.  ,2215176  176 ОбУ,2460  Софтуерни и хардуерни науки - АЕ,217.5,319,без квоти
208.  ,"2205408  СПГ ""Княгиня Евдокия""",2837  Съдебна администрация - АЕ (дуална),216.5,295,без квоти
209.  ,2224121  121 СУ,2642  Предприемачески - АЕ,211,302,без квоти
210.  ,"2206409  ПГТЕ ""Хенри Форд""",2352  Газова техника - АЕ,208.5,229,без квоти
211.  ,"2208017  17 СУ ""Дамян Груев""",2371  Чужди езици - ФЕ интензивно,204,301,без квоти
212.  ,"2217088  88 СУ ""Д.  Попниколов""",1353  Чужди езици - АЕ интензивно,199.5,408,без квоти
213.  ,2204311  ПГИИРЕ,2935  Чужди езици - ИЕ интензивно,199,319.25,без квоти
214.  ,2217149  149 СУ,1060  Софтуерни и хардуерни науки - АЕ интензивно,197.5,306.5,без квоти
215.  ,2219095  95 СУ,2354  Чужди езици - АЕ интензивно РЕ,197,228,без квоти
216.  ,2204311  ПГИИРЕ,2937  Екскурзоводско обслужване - РумЕ интензивно,193,193,без квоти
217.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851  Екология и опазване на околната среда - АЕ,192,299,без квоти
218.  ,"2209305  203 ПЕГ ""Св. Методий""",2904  Чужди езици - АЕ интензивно   НЕ,192,217,без квоти
219.  ,"2206409  ПГТЕ ""Хенри Форд""",1911  Промишлена електроника - АЕ,191,265,без квоти
220.  ,2216422  ПГМЕ,2193  Промишлена електроника - АЕ,191,191,без квоти
