СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 20.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
184.  ,"2209019  19 СУ ""Елин Пелин""",2689  Предприемачески - АЕ интензивно ДатЕ,295.5,379.5,без квоти
185.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0916  Чужди езици - ИтЕ интензивно,294,413.75,без квоти
186.  ,"2205105  105. СУ ""Атанас Далчев""",2532  Софтуерни и хардуерни науки - АЕ интензивно,293,383.5,без квоти
187.  ,2223431  ПГ по телекомуникации,0730  Компютърна техника и технологии - АЕ,292.25,322.75,без квоти
188.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0947  Природни науки - АЕ интензивно,291.5,341.5,без квоти
189.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2767  Чужди езици - АЕ интензивно ИЕ,289.5,319,без квоти
190.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2769  Системно програмиране - АЕ интензивно,287,360.25,без квоти
191.  ,"2219044  44. СУ ""НЕОФИТ БОЗВЕЛИ""",1536  Софтуерни и хардуерни науки - АЕ интензивно,287,332.5,без квоти
192.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2760  Приложно програмиране - АЕ интензивно,282,393.75,без квоти
193.  ,2211417  ПГО,0476  Моден дизайн - АЕ,279.75,363.75,без квоти
194.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0321  Кинотехника аудио- и видеосистеми - АЕ,279,372.5,без квоти
195.  ,"2211021  21 СУ ""ХРИСТО БОТЕВ""",0898  Чужди езици - АЕ интензивно ИЕ,277.5,334,без квоти
196.  ,"2206409  ПГТЕ ""Хенри Форд""",2380  Ремонт на летателни апарати - АЕ,275,335.5,без квоти
197.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2762  Чужди езици - АЕ интензивно НЕ,273,347,без квоти
198.  ,2211417  ПГО,0462  Моден дизайн - ИтЕ,272.75,322,без квоти
199.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0317  Медицинска техника - НЕ,271,345,без квоти
200.  ,"2206409  ПГТЕ ""Хенри Форд""",2376  Автомобилна  мехатроника - АЕ (дуална),270.5,270.5,без квоти
