"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2020/ 2021 ГОДИНА ",,,,,,,,
,,,,,,,,
№ по ред,Район,Училище,Паралелка,Код,Тип,Свободни места без квоти,Свободни места младежи,Свободни места девойки
186,Младост,"81. СУ ""Виктор Юго"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,2566,профилирана,4,,
187,Младост,"81. СУ ""Виктор Юго"", ГР.СОФИЯ",Хуманитарни науки,2579,профилирана,5,,
188,Младост,"118 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2943,профилирана,2,,
189,Младост,"125 СУ ""Боян Пенев"", ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,1546,профилирана,3,,
190,Младост,"125 СУ ""Боян Пенев"", ГР.СОФИЯ",Математически - АЕ интензивно,1557,профилирана,7,,
191,Младост,"128 СУ ""Алберт Айнщайн"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,1660,профилирана,5,,
192,Младост,"128 СУ ""Алберт Айнщайн"", ГР.СОФИЯ",Банкова охрана и инкасова дейност - АЕ,1670,професионална,1,,
193,Младост,"131 СУ ""К.А.Тимирязев"", ГР.СОФИЯ",Търговия на едро и дребно,2449,професионална,18,,
194,Младост,"131 СУ ""К.А.Тимирязев"", ГР.СОФИЯ",Предприемачески,2454,профилирана,7,,
195,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Музика - АЕ,1118,профилирана,13,,
196,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Рекламна графика - АЕ,1123,професионална,7,,
197,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Български танци - АЕ,1142,професионална,7,,
198,Младост,"ТУЕС към ТУ-София, ГР.СОФИЯ",Системно програмиране - АЕ,2127,професионална,2,,
199,Младост,"ТУЕС към ТУ-София, ГР.СОФИЯ",Компютърни мрежи - АЕ,2132,професионална,0,,
200,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески - АЕ,2582,профилирана,9,,
201,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески,3015,професионална,23,,
