"№
по
ред",Район,Училище,Паралелка,Код,Тип,"Места:
общо/
мъже/
жени",Балообразуване
68,Изгрев,"СПГ ""Княгиня Евдокия"",
ГР.СОФИЯ",Фризьорство,2843,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ)
69,Изгрев,"СПГ ""Княгиня Евдокия"",
ГР.СОФИЯ",Козметика,2845,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ)
70,Изгрев,"СПГ ""Княгиня Евдокия"",
ГР.СОФИЯ",Маникюр педикюр и ноктопластика,2847,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ)
71,Илинден,"3 СУ ""Марин Дринов"",
ГР.СОФИЯ",Изобразително изкуство - РЕ интензивно,2913,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ +
1 * ИИ)"
72,Илинден,"3 СУ ""Марин Дринов"",
ГР.СОФИЯ",Графичен дизайн - АЕ,2914,професионална,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ +
1 * ИИ)"
73,Илинден,"113 СУ ""Сава Филаретов"",
ГР.СОФИЯ",Предприемачески,1648,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИТ)
74,Илинден,"113 СУ ""Сава Филаретов"",
ГР.СОФИЯ",Продавач-консултант,1676,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
75,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Промишлена електроника - АЕ,1911,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
76,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ","Електрообзавеждане на ел. превозни
средства за гр. транспорт (дуална)",2343,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
77,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ","Електрообзавеждане на подемна и
асансьорна техника (дуална)",2349,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
78,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Газова техника - АЕ,2352,професионална,13/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
79,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Възобновяеми енергийни източници - АЕ,2357,професионална,13/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
80,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ","Топлотехника - отоплителна климат.
вентилационна и хладилна - АЕ (дуална)",2362,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
81,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Автотранспортна техника - техник,2364,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
82,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Автомобилна мехатроника - АЕ,2367,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
83,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Автомобилна мехатроника - АЕ (дуална),2376,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
84,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Електрически превозни средства - АЕ,2378,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
85,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Ремонт на летателни апарати - АЕ,2380,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
86,Илинден,"ПГТЕ ""Хенри Форд"",
ГР.СОФИЯ",Експлоатация на автомобилния транспорт,2383,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ)
87,Илинден,"ПГАВТ ""А.С.Попов"",
ГР.СОФИЯ",Компютърни мрежи - АЕ,2752,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
88,Илинден,"ПГАВТ ""А.С.Попов"",
ГР.СОФИЯ",Телекомуникационни системи - АЕ,2756,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
89,Илинден,"ПГАВТ ""А.С.Попов"",
ГР.СОФИЯ",Приложно програмиране - АЕ интензивно,2760,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
90,Илинден,"ПГАВТ ""А.С.Попов"",
ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2763,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
91,Илинден,"ПГАВТ ""А.С.Попов"",
ГР.СОФИЯ",Микропроцесорна техника - АЕ,2765,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
92,Илинден,"ПГАВТ ""А.С.Попов"",
ГР.СОФИЯ",Системно програмиране - АЕ интензивно,2769,професионална,26/-/-,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ИТ)
93,Илинден,"ПГХВТ, ГР.СОФИЯ",Производство на захар и захарни изделия -АЕ,448,професионална,26/-/-,"(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 *
ХООС)"
94,Илинден,"ПГХВТ, ГР.СОФИЯ","Производство на месо месни продукти и
риба - АЕ",452,професионална,26/-/-,"(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 *
ХООС)"
95,Илинден,"ПГХВТ, ГР.СОФИЯ","Производсто и преработка на мляко и
млечни продукти",455,професионална,26/-/-,"(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 *
ХООС)"
96,Илинден,"33 ЕГ ""Света София"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2762,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
97,Илинден,"33 ЕГ ""Света София"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2767,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
98,Илинден,"33 ЕГ ""Света София"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно КитЕ или ГрЕ,2774,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
99,Илинден,"33 ЕГ ""Света София"",
ГР.СОФИЯ",Чужди езици - ФЕ интензивно АЕ,2778,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
100,Илинден,"33 ЕГ ""Света София"",
ГР.СОФИЯ","Екскурзоводско обслужване - АЕ
интензивно РЕ",2797,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
101,Искър,"68 СУ ""Акад.Никола
Обрешков"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,2629,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
102,Искър,"69 СУ ""Д. Маринов"",
ГР.СОФИЯ",Икономическо развитие - АЕ,887,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ГИ)
103,Искър,"108 СУ ""Н.Беловеждов"",
ГР.СОФИЯ",Предприемачески - АЕ интензивно,1852,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ИТ)
104,Искър,"108 СУ ""Н.Беловеждов"",
ГР.СОФИЯ",Предприемачески - АЕ,1896,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ИТ)
105,Искър,"ПГ ПО ТРАНСПОРТ,
ГР.СОФИЯ",Митническа и данъчна администрация - АЕ,1656,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
106,Искър,"ПГ ПО ТРАНСПОРТ,
ГР.СОФИЯ","Спедиция транспортна и складова
логистика - АЕ",1665,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
