,,,,,,,,,,
,"СПИСЪК НА ПАРАЛЕЛКИТЕ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2022/ 2023 ГОДИНА В ОБЛАСТ СОФИЯ-ГРАД 
с кодове и балообразуване",,,,,,,,,
,,,,,,,,,,
№,Район,Училище,Идентификатор / КОД,Паралелка ,Тип,Балообразуване,Брой паралелки,Общо основание,Мъже,Жени
62,Изгрев,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1526,Природни науки - АЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),1,26,0,0
63,Изгрев,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1532,Чужди езици - РЕ интензивно,профилирана,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),1,26,0,0
64,Изгрев,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",4079,Икономическо развитие - АЕ интензивно,профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),1,26,0,0
65,Изгрев,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2328,"Системно програмиране - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
66,Изгрев,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2338,"Приложно програмиране - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
67,Изгрев,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2360,"Компютърни мрежи - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),2,52,0,0
68,Изгрев,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2363,"Компютърна техника и технологии - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
69,Изгрев,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2366,"Микропроцесорна техника - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
70,Изгрев,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2372,"Промишлена електроника - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
71,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2837,"Съдебна администрация - АЕ, РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ЧЕз),1,26,0,0
72,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2840,"Икономическо информационно осигуряване - АЕ, РЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз),1,26,0,0
73,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2842,"Извършване на термални процедури - АЕ, РЕ (дуална)",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз),1,26,0,0
74,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2843,Фризьорство,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),1,26,0,0
75,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2845,Козметика,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),1,26,0,0
76,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3381,"Промишлен дизайн - АЕ, РЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
77,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3382,"Индустриални отношения - АЕ, РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ЧЕз),1,26,0,0
78,Изгрев,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",4009,"Фотография - АЕ, РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
79,Илинден,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2914,Графичен дизайн - АЕ,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
80,Илинден,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",4019,Фотография,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
81,Илинден,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2913,Изобразително изкуство - РЕ,профилирана,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ИТ),1,26,0,0
82,Илинден,"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1648,Продавач-консултант /РЕ/,професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
83,Илинден,"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1676,Продавач-консултант /АЕ/,професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
84,Илинден,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2797,"Екскурзоводско обслужване - АЕ интензивно, КитЕ или ГрЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
85,Илинден,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2762,"Чужди езици - АЕ интензивно, НЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
86,Илинден,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2767,"Чужди езици - АЕ интензивно, ИЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
87,Илинден,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
88,Илинден,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2778,"Чужди езици - ФЕ интензивно, АЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),1,26,0,0
89,Илинден,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",1911,Промишлена електроника,професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ),1,26,0,0
90,Илинден,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт,професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ),1,26,0,0
91,Илинден,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ),1,26,0,0
92,Илинден,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2352,Газова техника - АЕ,професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ),1,26,0,0
93,Илинден,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2357,Възобновяеми енергийни източници - АЕ,професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ),1,26,0,0
94,Илинден,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ИТ),1,26,0,0
