"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 29.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
87,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",346,346,428,428,346,428
88,2204134,"134. средно училище ""Димчо Дебелянов""",1968,Софтуерни и хардуерни науки - АЕ интензивно / Иврит,345.25,345.25,352.75,352.75,345.25,352.75
89,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,345,0,345,345,0,345
90,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3938,Предприемачески - АЕ интензивно /НорвЕ,345,345,0,345,345,0
91,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - НЕ интензивно, АЕ",345,345,401.5,401.5,356.5,401.5
92,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",343,343,0,343,343,0
93,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,342.75,0,342.75,342.75,0,342.75
94,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Предприемачески - АЕ интензивно НЕ, Предприемачество и ИТ",340.5,340.5,0,340.5,340.5,0
95,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Математически - АЕ интензивно,338.75,338.75,0,338.75,338.75,0
96,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1362,"Хуманитарни науки - ИЕ интензивно, АЕ",338,362.5,338,414,414,345.5
97,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хумантарни науки - АЕ интензивно, НЕ",338,0,338,373,0,373
98,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",337.25,359,337.25,359,359,337.25
99,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",337,337,0,337,337,0
