"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
59,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, НЕ",398.5,398.5,429,440.5,425,440.5
60,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,397.25,397.25,411.75,419,419,411.75
61,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,"Интериорен дизайн - ИтЕ, АЕ",397,0,397,453.5,0,453.5
62,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",395,395,404,425.5,425,425.5
63,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, НЕ",394.5,394.5,395,421,420.5,421
64,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",394,394,394.5,434,411.5,434
65,2204018,"18 Средно училище ""Уилям Гладстон""",0905,Чужди езици - ФЕ интензивно,393.5,0,393.5,435.5,0,435.5
66,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2269,"Чужди езици - АЕ интензивно, РЕ",393,393,426,446.5,446.5,439.5
67,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1290,"Интериорен дизайн- НЕ, АЕ",392.25,0,392.25,421.5,0,421.5
68,2204018,"18 Средно училище ""Уилям Гладстон""",0897,Чужди езици - НЕ интензивно,391,391.5,391,444,398,444
69,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,"Интериорен дизайн - ФЕ, ИтЕ",389,389,389,406.5,389.5,406.5
70,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2363,"Компютърна техника и технологии - АЕ, НЕ",389,389,415.5,442.5,442.5,415.5
