Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
94,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3945,Предприемачески - АЕ интензивно/ ДатЕ,1,-,-
95,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3947,Предприемачески - НЕ интензивно,1,-,-
96,"192. СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",2952,Туристическа анимация,5,-,-
97,"2 Средно училище ""Академик Емилиян Станев """,0947,"Природни науки - АЕ интензивно ИЕ, БЗО и ХООС",0,-,-
98,"2 Средно училище ""Академик Емилиян Станев """,0951,Чужди езици - АЕ интензивно ИЕ,1,-,-
99,"2 Средно училище ""Академик Емилиян Станев """,0957,"Хуманитарни науки - АЕ интензивно ИЕ, БЕЛ и ИЦ",0,-,-
100,"2 Средно училище ""Академик Емилиян Станев """,0958,"Предприемачески - АЕ интензивно НЕ, Предприемачество и ИТ",1,-,-
101,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",2,-,-
102,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",2,-,-
103,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Чужди езици - ИЕ интензивно, АЕ/НЕ",1,-,-
104,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",1,-,-
105,"203 Профилирана езикова гимназия ""Свети Методий""",3271,"Природни науки - АЕ интензивно, ИЕ/РЕ",0,-,-
106,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",1,-,-
107,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",1,-,-
108,"22 Средно езиково училище ""Георги Стойков Раковски""",2565,"Чужди езици - АЕ интензивно, ИЕ",2,-,-
109,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Чужди езици - ИЕ интензивно, АЕ",0,-,-
110,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Чужди езици - АЕ интензивно, НЕ",0,-,-
111,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",0,-,-
112,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",1,-,-
113,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",1,-,-
114,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",2,-,-
