№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
59.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ интензивно РЕ М,424.5,449.5,девойки
60.  ,"2211035  35. СЕУ ""Добри Войников""",0388  Чужди езици - НЕ интензивно РЕ БЕЛ,424,441.5,без квоти
61.  ,2222009  9 ФЕГ,2158  Чужди езици - ФЕ интензивно   АЕ,422.5,452.5,младежи
62.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2565  Чужди езици - АЕ интензивно ИЕ,422,440.5,без квоти
63.  ,2222009  9 ФЕГ,2168  Чужди езици - ФЕ интензивно   НЕ,422,430,младежи
64.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ интензивно РЕ М,420.5,443.5,девойки
65.  ,"2204018  18 СУ ""Уилям Гладстон""",1631  Чужди езици - ЯЕ интензивно  АЕ,419,429,без квоти
66.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,418.5,436,младежи
67.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ интензивно РЕ М,418.5,434.5,младежи
68.  ,"2211419  СГСАГ ""Христо Ботев""",0973  Строителство и архитектура - НЕ,418,446.75,без квоти
69.  ,2211304  НПМГ,0830  Математически - АЕ ФА М,417.58,426.37,без квоти
70.  ,"2224022  22 СЕУ ""Г. С. Раковски""",3017  Чужди езици - АЕ интензивно НЕ,417.5,442.5,без квоти
71.  ,"2205407  СПГЕ  ""Джон Атанасов""",2360  Компютърни мрежи - АЕ  НЕ,417.5,434.5,без квоти
72.  ,2209051  51 СУ,2291  Изобразително изкуство - АЕ интензивно  ИтЕ,417,427.25,без квоти
73.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2577  Чужди езици - ИЕ интензивно АЕ,414.5,455.5,без квоти
74.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,414.5,439,девойки
75.  ,"2211035  35. СЕУ ""Добри Войников""",3505  Природни науки - БЗО ХООС НЕ интензивно РЕ,412.5,463.5,девойки
76.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Математически - АЕ интензивно  РЕ,411,462.5,младежи
77.  ,"2221031  31 СУЧЕМ ""Иван Вазов""",2755  Чужди езици - АЕ интензивно   ИЕ,411,443.5,без квоти
78.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно  АЕ,411,439.5,девойки
79.  ,"2221031  31 СУЧЕМ ""Иван Вазов""",2766  Чужди езици - ИЕ интензивно   АЕ,410.5,459,без квоти
80.  ,"2211035  35. СЕУ ""Добри Войников""",0390  Чужди езици - ФЕ интензивно РЕ БЗО,410,439,без квоти
81.  ,2211304  НПМГ,0843  Природни науки - АЕ ХООС БЗО,408.42,462.71,без квоти
82.  ,"2224022  22 СЕУ ""Г. С. Раковски""","3635  Природни науки ИЕ - интензивно АЕ, БЗО, ХООС",408,437,без квоти
83.  ,2224433  НТБГ,0937  Банково дело - НЕ интензивно  АЕ,407,429.5,девойки
84.  ,"2221031  31 СУЧЕМ ""Иван Вазов""",2759  Чужди езици - НЕ интензивно   АЕ,406,455.5,без квоти
85.  ,2224433  НТБГ,0802  Икономическа информатика - АЕ интензивно  ФЕ,405,418.5,младежи
86.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно  АЕ,403.5,412,девойки
87.  ,2209051  51 СУ,2276  Компютърна графика - АЕ интензивно  НЕ,403,436,без квоти
88.  ,2209051  51 СУ,2289  Софтуерни и хардуерни науки - АЕ интензивно  ИтЕ,402,437.5,без квоти
89.  ,"2211035  35. СЕУ ""Добри Войников""",3505  Природни науки - БЗО ХООС НЕ интензивно РЕ,401.5,415,младежи
90.  ,"2224432  ПГ по дизайн ""Елисавета Вазова""",1294  Графичен дизайн - АЕ,401.25,472.25,без квоти
91.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2777  Чужди езици - АЕ интензивно  РЕ,401,445.5,девойки
92.  ,2224433  НТБГ,0937  Банково дело - НЕ интензивно  АЕ,400.5,456.5,младежи
93.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",3371  Софтуерни и хардуерни науки - АЕ интензивно  НЕ,400.5,453,без квоти
94.  ,"2204018  18 СУ ""Уилям Гладстон""",0897  Чужди езици - НЕ интензивно  АЕ,397,465,без квоти
95.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно НЕ,395.5,421.5,младежи
96.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ интензивно РЕ М,394.5,417.5,младежи
97.  ,"2221031  31 СУЧЕМ ""Иван Вазов""",3018  Математически - АЕ интензивно  НЕ,394,446,без квоти
98.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",3372  Природни науки - АЕ интензивно  ИЕ,394,422,без квоти
99.  ,2211304  НПМГ,0847  Икономическо развитие - АЕ,393.7,436.34,без квоти
100.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно  ФЕ,393,444.5,девойки
101.  ,2224433  НТБГ,0751  Банково дело - АЕ интензивно  ФЕ,393,418.5,младежи
102.  ,"2204018  18 СУ ""Уилям Гладстон""",0905  Чужди езици - ФЕ интензивно  АЕ,392.5,443,без квоти
103.  ,"2205407  СПГЕ  ""Джон Атанасов""",2363  Компютърна техника и технологии - АЕ  НЕ,392.25,427,без квоти
104.  ,2224433  НТБГ,0802  Икономическа информатика - АЕ интензивно  ФЕ,392,428.5,девойки
105.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно  ФЕ,390,414,младежи
106.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно  ИЕ,389,419.5,младежи
107.  ,2224433  НТБГ,0775  Застрахователно и осигурително дело - НЕ интензивно  АЕ,388.5,400.5,девойки
108.  ,"2204018  18 СУ ""Уилям Гладстон""",1647  Чужди езици - КорЕ интензивно АЕ,385.5,437.5,без квоти
109.  ,"2204018  18 СУ ""Уилям Гладстон""",0902  Природни науки - АЕ интензивно НЕ,385,425.5,без квоти
110.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно  РЕ,384.5,412,младежи
111.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно  АЕ,384,401,девойки
112.  ,"2208123  123 СУ ""Стефан Стамболов",3674  Логистика на товари и услуги /НЕ/,384,384,без квоти
113.  ,"2222133  133 СУ ""А.С.Пушкин""",2272  Чужди езици - РЕ интензивно  АЕ,383,406,младежи
114.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2209  Чужди езици - НЕ интензивно  АЕ/РЕ,382,418,без квоти
115.  ,"2224432  ПГ по дизайн ""Елисавета Вазова""",1292  Интериорен дизайн - ИтЕ,381.5,396.5,без квоти
116.  ,2224433  НТБГ,0775  Застрахователно и осигурително дело - НЕ интензивно  АЕ,381.5,389.5,младежи
117.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1522  Хуманитарни науки - АЕ интензивно РЕ/ФЕ,381,424.75,без квоти
118.  ,2224433  НТБГ,0777  Оперативно счетоводство - РЕ интензивно  АЕ,380,385,девойки
