Свободни места за четвърти етап на класиране към 08:00 ч. на 02.08.2021 г.,,,,,,,
Училище,Код на паралелката,Име на паралелката,Тип,Брой паралелки,На общо основание,Младежи ,Девойки
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2763,"Компютърна техника и технологии - АЕ, ИЕ",професионална,1,2,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2765,"Микропроцесорна техника - АЕ, РЕ",професионална,1,0,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",2769,"Системно програмиране - АЕ интензивно, НЕ",професионална,1,1,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И  ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ"", ГР.СОФИЯ",3317,"Охранителна техника и системи за сигурност - АЕ, НЕ",професионална,1,0,0,0
"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",0448,"Производство на захар и захарни изделия - АЕ, РЕ",професионална,1,4,0,0
"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",0452,"Производство на месо месни продукти и риба - АЕ, РЕ",професионална,1,14,0,0
"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",0455,Производсто и преработка на мляко и млечни продукти,професионална,1,14,0,0
"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",3671,"Производство на месо, месни продукти и риба",професионална,1,14,0,0
"68. Средно училище ""Академик Никола Обрешков"", ГР.СОФИЯ",2629,"Софтуерни и хардуерни науки - АЕ, НЕ/РЕ",профилирана,1,1,0,0
"68. Средно училище ""Академик Никола Обрешков"", ГР.СОФИЯ",3634,"Природни науки - АЕ, НЕ/РЕ",профилирана,1,2,0,0
"69 Средно  училище ""Димитър Маринов"", ГР.СОФИЯ",0887,"Икономическо развитие - АЕ, РЕ",профилирана,1,1,0,0
"108 Средно училище  ""Никола Беловеждов"", ГР.СОФИЯ",1852,Предприемачески  - АЕ интензивно РЕ,профилирана,1,1,0,0
"108 Средно училище  ""Никола Беловеждов"", ГР.СОФИЯ",3675,Предприемачески - АЕ интензивно НЕ,профилирана,1,0,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1656,Митническа и данъчна администрация - АЕ,професионална,1,7,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1665,Спедиция транспортна и складова логистика - АЕ,професионална,1,13,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1677,Автомобилна мехатроника - АЕ,професионална,1,6,0,0
"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1684,Автотранспортна техника - монтьор,професионална,1,13,0,0
"17 СУ ""Дамян Груев"", ГР.СОФИЯ",2371,"Чужди езици - ФЕ интензивно, ИтЕ/ИЕ",профилирана,1,10,0,0
"28 Средно училище  ""Алеко Константинов"", ГР.СОФИЯ",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",профилирана,1,2,0,0
"28 Средно училище  ""Алеко Константинов"", ГР.СОФИЯ",0374,"Физическо възпитание и спорт - АЕ, ИЕ",профилирана,1,9,0,0
"123 Средно училищe ""Стефан Стамболов"", ГР.СОФИЯ",0631,Логистика на товари и услуги /АЕ/,професионална,1,0,0,0
