"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/ 2022 ГОДИНА ",,,,,,,,
Код,Училище,Код на паралелката,Име на паралелката,Тип,Брой паралелки,На общо основание,Младежи,Девойки
2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",1354,Математически - АЕ интензивно ИЕ,профилирана,1,1,0,0
2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",2451,Чужди езици - КитЕ интензивно    АЕ,профилирана,1,2,0,0
2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",2456,Чужди езици - ЯЕ интензивно   АЕ,профилирана,1,0,0,0
2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",2466,Организация на туризма и свободното време - АЕ интензивно КорЕ,професионална,1,0,0,0
2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо"", ГР.СОФИЯ",1023,"Чужди езици - ИЕ интензивно, АЕ",профилирана,5,14,0,0
2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2153,"Автотранспортна техника - техник АЕ (дуална), РЕ",професионална,1,12,0,0
2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2165,"Автомобилна мехатроника - АЕ, РЕ",професионална,1,2,0,0
2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2178,"Ремонт на летателни апарати - АЕ, РЕ",професионална,1,15,0,0
2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2187,"Спедиция транспортна и складова логистика - АЕ (дневна), НЕ",професионална,1,20,0,0
2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2212,"Спедиция транспортна и складова логистика - АЕ (дуална), НЕ",професионална,1,20,0,0
2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",3500,"Автотранспортна техника - техник АЕ (дневна), РЕ",професионална,1,21,0,0
2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",3503,"Металургия на цветните метали - АЕ  (дуална), РЕ",професионална,1,26,0,0
2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",0359,"Чужди езици - АЕ интензивно, ИЕ",профилирана,2,6,0,0
2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",0360,Чужди езици - АЕ интензивно НЕ,профилирана,1,1,0,0
2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",0361,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",профилирана,1,0,0,0
2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",0363,"Чужди езици - АЕ интензивно, ФЕ",профилирана,1,1,0,0
2222009,"9 Френска езикова гимназия  ""Алфонс дьо Ламартин"", ГР.СОФИЯ",2158,Чужди езици - ФЕ интензивно   АЕ,профилирана,3,0,0,2
2222009,"9 Френска езикова гимназия  ""Алфонс дьо Ламартин"", ГР.СОФИЯ",2163,Чужди езици - ФЕ интензивно   ИЕ,профилирана,3,0,1,0
2222009,"9 Френска езикова гимназия  ""Алфонс дьо Ламартин"", ГР.СОФИЯ",2168,Чужди езици - ФЕ интензивно   НЕ,профилирана,1,0,1,0
2222012,"12 Средно  училище "" Цар Иван Асен II"", ГР.СОФИЯ",2159,"Природни науки - АЕ интензивно, НЕ",профилирана,1,2,0,0
2222012,"12 Средно  училище "" Цар Иван Асен II"", ГР.СОФИЯ",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ",профилирана,1,3,0,0
2222012,"12 Средно  училище "" Цар Иван Асен II"", ГР.СОФИЯ",2215,"Предприемачески - ФЕ интензивно, АЕ",профилирана,1,2,0,0
2222127,"127. Средно училище ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1358,"Хумантарни науки - АЕ интензивно, НЕ",профилирана,1,2,0,0
2222127,"127. Средно училище ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1362,"Хуманитарни науки - ИЕ интензивно, АЕ",профилирана,1,2,0,0
2222127,"127. Средно училище ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1364,"Природни науки - АЕ интензивно, ИЕ",профилирана,1,1,0,0
2222127,"127. Средно училище ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1365,"Природни науки - ИЕ интензивно, АЕ",профилирана,1,1,0,0
2222127,"127. Средно училище ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1366,"Предприемачески - АЕ интензивно, ИЕ",профилирана,1,2,0,0
2222127,"127. Средно училище ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",3148,"Предприемачески - ИЕ интензивно, АЕ",профилирана,1,0,0,0
2222133,"133 Средно училище  „Александър Сергеевич Пушкин”, ГР.СОФИЯ",2269,"Математически - АЕ интензивно, РЕ",профилирана,1,0,1,2
2222133,"133 Средно училище  „Александър Сергеевич Пушкин”, ГР.СОФИЯ",2270,"Чужди езици - ФЕ интензивно, РЕ",профилирана,1,0,1,2
2222133,"133 Средно училище  „Александър Сергеевич Пушкин”, ГР.СОФИЯ",2272,"Чужди езици - РЕ интензивно, АЕ ",профилирана,2,0,1,0
2223055,"55 СРЕДНО УЧИЛИЩЕ  ""ПЕТКО КАРАВЕЛОВ"", ГР.СОФИЯ",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",профилирана,2,4,0,0
2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",0707,Оптически комуникационни системи - АЕ,професионална,1,2,0,0
2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",0722,Компютърни мрежи - АЕ,професионална,1,3,0,0
2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",0730,Компютърна техника и технологии - АЕ,професионална,1,1,0,0
2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",0738,Системно програмиране - АЕ,професионална,1,2,0,0
2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",0743,Приложно програмиране - АЕ,професионална,1,1,0,0
2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",0746,Икономическа информатика - АЕ,професионална,1,0,0,0
2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",3215,Телекомуникационни системи-АЕ,професионална,1,3,0,0
2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",2565,Чужди езици - АЕ интензивно ИЕ,профилирана,1,1,0,0
2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",2577,Чужди езици - ИЕ интензивно АЕ,профилирана,2,0,0,0
2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",3017,Чужди езици - АЕ интензивно НЕ,профилирана,1,0,0,0
2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",3635,"Природни науки ИЕ - интензивно АЕ, БЗО, ХООС",профилирана,1,0,0,0
2224047,"47 Средно училище ""Христо Груев Данов"", ГР.СОФИЯ",0515,"Предприемачески - АЕ интензивно, РЕ",профилирана,1,5,0,0
2224073,"73.СУ с преподаване на чужди езици  ""Владислав Граматик"", ГР.СОФИЯ",2651,Чужди езици - НЕ интензивно РЕ,профилирана,2,0,1,2
2224073,"73.СУ с преподаване на чужди езици  ""Владислав Граматик"", ГР.СОФИЯ",2656,Чужди езици - НЕ интензивно ФЕ,профилирана,1,0,0,1
2224073,"73.СУ с преподаване на чужди езици  ""Владислав Граматик"", ГР.СОФИЯ",2658,Чужди езици - НЕ интензивно АЕ,профилирана,1,0,0,0
2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ"", ГР.СОФИЯ",2637,Софтуерни и хардуерни науки - АЕ  ИЕ,профилирана,1,3,0,0
2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ"", ГР.СОФИЯ",2642,"Предприемачески - АЕ, ИЕ/РЕ",профилирана,1,4,0,0
2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ"", ГР.СОФИЯ",2647,"Софтуерни и хардуерни науки - ИЕ, АЕ",профилирана,1,2,0,0
2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ"", ГР.СОФИЯ",3679,Софтуерни и хардуерни науки - АЕ  РЕ,профилирана,1,1,0,0
2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2018,Чужди езици - АЕ интензивно НЕ М ФА,профилирана,1,0,2,1
2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2020,Чужди езици - АЕ интензивно НЕ БЕЛ,профилирана,1,0,1,0
2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2022,Чужди езици - АЕ интензивно НЕ БЗО ХООС,профилирана,1,0,0,0
2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2025,Чужди езици АЕ интензивно ИЕ М ГИ,профилирана,1,0,0,0
2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2028,Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,профилирана,1,0,0,0
2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2030,Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,профилирана,1,0,1,1
2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2034,Чужди езици - АЕ интензивно РЕ М ИТ,профилирана,1,0,0,0
2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",1227,Моден дизайн - ФЕ,професионална,1,3,0,0
2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",1290,Интериорен дизайн- НЕ,професионална,1,3,0,0
2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",1292,Интериорен дизайн - ИтЕ,професионална,1,0,0,0
2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",1294,Графичен дизайн - АЕ,професионална,1,2,0,0
2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",1296,Рекламна графика - АЕ,професионална,1,3,0,0
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0751,"Банково дело - АЕ интензивно, ФЕ",професионална,1,0,0,0
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0775,"Застрахователно и осигурително дело - НЕ интензивно, АЕ",професионална,1,0,0,0
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0777,"Оперативно счетоводство - РЕ интензивно, АЕ",професионална,1,0,0,0
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0779,"Бизнес администрация - ИЕ интензивно, АЕ",професионална,1,0,0,0
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0788,"Електронна търговия - АЕ интензивно, ФЕ",професионална,2,0,2,1
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0802,"Икономическа информатика - АЕ интензивно, ФЕ",професионална,1,0,0,0
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0933,"Банково дело - ФЕ интензивно, АЕ",професионална,1,0,0,0
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0937,"Банково дело - НЕ интензивно, АЕ",професионална,1,0,1,1
2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",0941,"Електронна търговия - РЕ интензивно, АЕ",професионална,1,0,0,1
