№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
262.  ,"2212096  96. СУ ""Л. Н. Толстой""",3318  Софтуерни и хардуерни науки - АЕ интензивно  ИЕ/РЕ,232.5,422,без квоти
263.  ,2212097  97 СУ,2506  Софтуерни и хардуерни науки - АЕ интензивно,232,368,без квоти
264.  ,2216423  СПГТ,1277  Кетъринг - РЕ,229,328,без квоти
265.  ,2224121  121 СУ,3679  Софтуерни и хардуерни науки - АЕ  РЕ,225,336.5,без квоти
266.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874  Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ   НЕ,224,412.5,без квоти
267.  ,"2212303  33 ЕГ ""Света София""",2797  Екскурзоводско обслужване - АЕ интензивно РЕ,223,302,без квоти
268.  ,"2208028  28 СУ ""А. Константинов""",0374  Физическо възпитание и спорт - АЕ  ИЕ,223,267.5,без квоти
269.  ,2216423  СПГТ,1284  Производство и обслужване в заведенията за хранене и развлечения - НЕ,221.5,410,без квоти
270.  ,"2206410  ПГАВТ  ""А.С.Попов""",2756  Телекомуникационни системи - АЕ  РЕ,221.25,289.75,без квоти
271.  ,"2201078  78. СУ ""Христо Смирненски""",0468  Софтуерни и хардуерни науки - АЕ интензивно   РЕ,219.5,420,без квоти
272.  ,"2208017  17 СУ ""Дамян Груев""",2371  Чужди езици - ФЕ интензивно  ИтЕ/ИЕ,218.75,369.5,без квоти
273.  ,"2206409  ПГТЕ ""Хенри Форд""",2364  Автотранспортна техника - техник (дуална),218.5,353,без квоти
274.  ,"2213144  144 СУ ""Народни будители""",1118  Музика - АЕ  РЕ/ИЕ,217,441,без квоти
275.  ,"2207108  108 СУ ""Н.Беловеждов""",1852  Предприемачески  - АЕ интензивно РЕ,213,380.5,без квоти
276.  ,2214054  54 СУ,0758  Софтуерни и хардуерни науки - АЕ интензивно   НЕ,212,354.5,без квоти
277.  ,"2205408  СПГ ""Княгиня Евдокия""",3382  Индустриални отношения - АЕ  РЕ,212,238.5,без квоти
278.  ,2224121  121 СУ,2647  Софтуерни и хардуерни науки - ИЕ  АЕ,211.5,296,без квоти
279.  ,"2206409  ПГТЕ ""Хенри Форд""",2378  Електрически превозни средства - АЕ  РЕ/НЕ,209,394,без квоти
280.  ,"2213039  39 СУ ""П.Динеков""",1802  Софтуерни и хардуерни науки - АЕ интензивно  ИЕ,208,270.5,без квоти
281.  ,"2217088  88 СУ ""Д.  Попниколов""",1353  Чужди езици - АЕ интензивно ИЕ/РЕ,205,355,без квоти
282.  ,"2209305  203 ПЕГ ""Св. Методий""",2910  Предприемачески - АЕ интензивно  ИЕ/НЕ,203.75,338.5,без квоти
283.  ,"2206410  ПГАВТ  ""А.С.Попов""",2765  Микропроцесорна техника - АЕ  РЕ,202.25,285.25,без квоти
284.  ,"2212137  137 СУ ""Ангел Кънчев""",1834  Предприемачески - АЕ интензивно  НЕ,202,410,без квоти
285.  ,2204405  ПГ по ПСТТ,3561  Осигурителни и комуникационни системи в жп инфраструктура - АЕ  РЕ,198,198,без квоти
286.  ,"2209132  132. СУ ""Ваня Войнова""",0424  Спортни-туристически дейности - помощник-инструктор АЕ  РЕ,197.5,370.5,без квоти
287.  ,"2213144  144 СУ ""Народни будители""",3559  Рекламна графика - ИЕ  РЕ/АЕ,195,430.75,без квоти
288.  ,"2205408  СПГ ""Княгиня Евдокия""",2842  Извършване на термални процедури - АЕ (дуална)  РЕ,195,339.5,без квоти
289.  ,2212097  97 СУ,3037  Предприемачески - АЕ,193,343.75,без квоти
290.  ,"2202026  26 СУ ""Йордан Йовков""",0965  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,193,329.5,без квоти
291.  ,"2206409  ПГТЕ ""Хенри Форд""",2357  Възобновяеми енергийни източници - АЕ (дуална)  РЕ/НЕ,189.5,323.5,без квоти
