"СПИСЪК НА ПАРАЛЕЛКИТЕ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/ 2022 ГОДИНА В ОБЛАСТ СОФИЯ-ГРАД 
с кодове и балообразуване",,,,,,,,,,,
,,,,, ,,,,,,
№,Район,Код,Училище,Код на паралелката,Име на паралелката,Тип,Балообразуване,Брой паралелки,На общо основание,Младежи,Девойки
51,Възраждане,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2528,"Подемно-транспортна техника монтирана на пътни тр. средства - ФЕ, РЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
52,Възраждане,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2612,"Електрически превозни средства - РЕ, АЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
53,Възраждане,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3558,"Локомотиви и вагони - АЕ (дуална), РЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
54,Възраждане,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3560,"Електрообзавеждане на железопътната техника - РЕ, АЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
55,Възраждане,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3561,"Осигурителни и комуникационни системи в жп инфраструктура - АЕ, РЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
56,Възраждане,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3562,"Ръководител движение - АЕ, РЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
57,Изгрев,2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2514,"Чужди езици - ИтЕ интензивно, АЕ",профилирана,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),1,26,0,0
58,Изгрев,2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз),1,26,0,0
59,Изгрев,2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),1,26,0,0
60,Изгрев,2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1522,"Хуманитарни науки - АЕ интензивно, РЕ/ФЕ",профилирана,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ),1,26,0,0
61,Изгрев,2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1526,"Природни науки - АЕ интензивно, РЕ/ФЕ",профилирана,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),1,26,0,0
62,Изгрев,2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1532,"Чужди езици - РЕ интензивно, АЕ/ФЕ",профилирана,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),1,26,0,0
63,Изгрев,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2328,"Системно програмиране - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
64,Изгрев,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2338,"Приложно програмиране - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
