№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
208.  ,"2207069  69 СУ  ""Д.  Маринов""",0887  Икономическо развитие - АЕ  РЕ,209,259.5,без квоти
209.  ,"2215170  170 СУ ""Васил Левски""",3451  Електронна търговия - АЕ,207.5,389.75,без квоти
210.  ,"2221430  ПГТ  ""МАКГАХАН""",2165  Автомобилна мехатроника - АЕ  РЕ,206,216,без квоти
211.  ,"2205408  СПГ ""Княгиня Евдокия""",2847  Маникюр педикюр и ноктопластика,205,212.5,без квоти
212.  ,"2206409  ПГТЕ ""Хенри Форд""",2352  Газова техника - АЕ (дуална) РЕ/НЕ,203,257,без квоти
213.  ,2208135  135 СУ,2783  Социална работа с деца и семейства в риск - АЕ  РЕ,201,262,без квоти
214.  ,"2208017  17 СУ ""Дамян Груев""",2371  Чужди езици - ФЕ интензивно  ИтЕ/ИЕ,199.25,344.25,без квоти
215.  ,2219095  95 СУ,2359  Чужди езици - РЕ интензивно АЕ,196.5,392.5,без квоти
216.  ,"2203074  74 СУ ""Гоце Делчев""",1777  Природни науки - АЕ интензивно  РЕ,196.5,332.25,без квоти
217.  ,"2207108  108 СУ ""Н.Беловеждов""",1852  Предприемачески  - АЕ интензивно РЕ,196.5,277.75,без квоти
218.  ,"2203074  74 СУ ""Гоце Делчев""",1771  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,196.5,248,без квоти
219.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874  Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ   НЕ,196,298,без квоти
220.  ,"2205408  СПГ ""Княгиня Евдокия""",3381  Промишлен дизайн - АЕ  РЕ,196,272.25,без квоти
221.  ,2214015  15 СУ,2582  Предприемачески - АЕ  НЕ/РЕ,195.5,274,без квоти
222.  ,"2205408  СПГ ""Княгиня Евдокия""",2840  Икономическо информационно осигуряване - АЕ  РЕ,193,345.5,без квоти
223.  ,2212090  90 СУ,1384  Предприемачески - ИЕ  АЕ,190,190,без квоти
224.  ,"2205408  СПГ ""Княгиня Евдокия""",2843  Фризьорство,188,286,без квоти
225.  ,"2213010  10 СУ  ""Теодор Траянов""",3075  Природни науки - АЕ  РЕ,186,243,без квоти
226.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",3414  Технология на фармацевтичните и парфюмерийно-козметични продукти - НЕ   АЕ,184,289,без квоти
227.  ,2204311  ПГИИРЕ,2935  Чужди езици - ИЕ интензивно РумЕ,180,329.75,без квоти
228.  ,"2202026  26 СУ ""Йордан Йовков""",0965  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,179.5,262.5,без квоти
229.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0344  Организация на хотелиерството -  АЕ,176,242,без квоти
230.  ,2210117  117. СУ,0975  Софтуерни и хардуерни науки,175.5,294,без квоти
231.  ,2212040  40 СУ,0508  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,175.5,253,без квоти
232.  ,"2212079  79 СУ ""Индира Ганди""",2427  Софтуерни и хардуерни науки - АЕ интензивно  ИЕ,175,329,без квоти
233.  ,"2212137  137 СУ ""Ангел Кънчев""",1844  Софтуерни и хардуерни науки - АЕ интензивно  НЕ,174.75,212.75,без квоти
234.  ,"2208028  28 СУ ""А. Константинов""",0372  Софтуерни и хардуерни науки - АЕ интензивно  ИЕ,174,249,без квоти
235.  ,"2212056  56.СУ ""Проф. К. Иречек""",3640  Електронна търговия - АЕ  НЕ,169.5,169.5,без квоти
236.  ,"2215170  170 СУ ""Васил Левски""",2972  Организация на туризма и свободното време - АЕ,168,282.25,без квоти
237.  ,"2213144  144 СУ ""Народни будители""",1142  Български танци - АЕ  РЕ/ИЕ,167.05,398.25,без квоти
238.  ,"2212056  56.СУ ""Проф. К. Иречек""",2200  Икономическо развитие - АЕ интензивно ИЕ,166.5,285.5,без квоти
239.  ,"2213131  131 СУ ""К.А.Тимирязев""",2449  Търговия на едро и дребно,165,231.5,без квоти
240.  ,"2205408  СПГ ""Княгиня Евдокия""",2845  Козметика,165,203,без квоти
241.  ,"2220059  59 ОбУ ""Васил Левски""",1530  Готвач,163.5,163.5,без квоти
242.  ,"2206409  ПГТЕ ""Хенри Форд""",1911  Промишлена електроника - АЕ  РЕ/НЕ,162,270.5,без квоти
243.  ,"2209132  132. СУ ""Ваня Войнова""",0424  Спортни-туристически дейности - помощник-инструктор АЕ  РЕ,161,293.25,без квоти
