"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 14.07.2025 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
75,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",418,418,420.5,460,444.5,460
76,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, ИЕ",417.5,422.5,417.5,445,444.5,445
77,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,417.25,417.25,421,451.75,450.75,451.75
78,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",417,419.5,417,476,459.5,476
79,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2775,"Чужди езици - АЕ интензивно, ФЕ",416.5,416.5,442,452,427.5,452
80,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",416,416,447,457,431.5,457
81,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, ИЕ",415.5,417,415.5,467,457,467
82,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,415.5,416,415.5,453.75,429,453.75
83,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",414.25,414.75,414.25,485.5,453,485.5
84,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Природни науки - интензивно ФЕ, РЕ",413,413,432,452,429.5,452
85,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",413,413,441.5,476,460.5,476
86,2204018,"18 Средно училище ""Уилям Гладстон""",0897,"Математически - АЕ интензивно, НЕ; М и Инф",412,413.5,412,463,463,429.5
87,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ по избор",411.5,411.5,412.75,446.75,432.25,446.75
88,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,"Хуманитарни науки - АЕ интензивно, РЕ; БЕЛ и ИЦ",411.5,411.5,424.5,449.5,428,449.5
89,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,411.5,411.5,416,444,444,417.75
90,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2372,"Промишлена електроника - АЕ, НЕ",411,411,419,444,444,419
91,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - БЗО и ХООС - АЕ интензивно, ИЕ",410,411.25,410,449.25,421.25,449.25
92,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",4855,Компютърна анимация - ИЕ,409.75,409.75,440,461,438,461
93,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,Графичен дизайн - НЕ,409.5,409.5,439.5,472.5,448.75,472.5
94,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - AE интензивно, ИЕ",408,408,410,441,429.5,441
95,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,408,408.5,408,487,457.5,487
96,2204018,"18 Средно училище ""Уилям Гладстон""",0902,"Природни науки - НЕ интензивно, АЕ; БЗО и ХООС",407.5,409,407.5,456.5,420,456.5
97,2204018,"18 Средно училище ""Уилям Гладстон""",3931,"Чужди езици - КорЕ интензивно, АЕ",407.5,413,407.5,460.5,460.5,456
98,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,406,406,408,469.25,446.5,469.25
99,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4401,"Обществени науки - ИЕ разширено, АЕ",404.25,408,404.25,420,418.75,420
100,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",404,404,415,454.5,417,454.5
101,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",402,402,424,460.5,440.5,460.5
102,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,402,402,402.5,455.5,452.5,455.5
103,2216001,"1 Средно училище ""Пенчо П. Славейков""",4880,"Маркетингови проучвания - АЕ интензивно, ИЕ",401.75,403.25,401.75,453.25,433,453.25
104,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",401.5,401.5,402.5,464,416,464
