"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 21.07.2025 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
76,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",411.5,411.5,419,457.75,457.75,450.5
77,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",410.5,410.5,444.5,450.5,431.5,450.5
78,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0359,"Чужди езици - АЕ интензивно, ИЕ",410.5,411.25,410.5,448.75,423.5,448.75
79,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, ИЕ",410,413.5,410,456.5,456.5,436.5
80,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",4855,Компютърна анимация - ИЕ,409.75,409.75,435.5,447.75,438,447.75
81,2204018,"18 Средно училище ""Уилям Гладстон""",1631,"Чужди езици - ФЕ интензивно, ИЕ",408,419,408,448.5,425,448.5
82,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",407,407,441.5,452,436.5,452
83,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,406.5,408.75,406.5,453.75,428,453.75
84,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,406.5,406.5,417.75,440.5,440.5,417.75
85,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Обществени науки - ИЕ интензивно, АЕ",406.25,408.5,406.25,439,408.5,439
86,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, ИЕ",406,413,406,445,430,445
87,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ по избор",404.75,404.75,404.75,442.5,432.25,442.5
88,2204018,"18 Средно училище ""Уилям Гладстон""",3931,"Чужди езици - КорЕ интензивно, АЕ",404.5,0,404.5,428.5,0,428.5
89,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,Графичен дизайн - НЕ,404.5,404.5,437,440,432.5,440
90,2204018,"18 Средно училище ""Уилям Гладстон""",0897,"Математически - АЕ интензивно, НЕ; М и Инф",403.5,403.5,404.5,454,454,427
91,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - БЗО и ХООС - АЕ интензивно, ИЕ",401.5,401.5,402.5,440,411.25,440
